1210.1,490,40,119.3,9.5,19187
1017.1,87.9,40.1,99,12.9,1777
858,384,39.4,127.4,10,12502
742.6,190,41,117.3,10.4,6099
610.8,283,38.8,125.1,9,5967
475.1,58.8,40.7,102.6,12.5,930
417,1000,39,105.6,13.6,37854
364.6,1350,42.2,85.6,13.6,21889
285.5,662,40.8,99.7,12.2,16270
283.2,715,39.4,90.4,13.9,9017
246.1,2400,36.8,111.6,12.8,26562
232,978,38.3,103.9,12.1,18217
218.6,21.9,39.2,106,8.8,287
209.2,359,38.4,114.1,10.7,5117
202.6,560,38.9,84.7,14,6933
183.4,526,37.9,87.1,13.1,8410
175,536,39.8,92.1,14.1,13296
173.7,662,36.9,84.2,14.3,10612
158.8,313,39.6,83.6,15.3,5385
157.7,589,38.8,81.9,15.3,6908